t1      ,ch1     ,t2      ,ch2     
 -23.609,   -0.033,  -23.609,   -0.258
 -23.560,   -0.033,  -23.560,   -0.258
 -23.511,   -0.033,  -23.511,   -0.259
 -23.462,   -0.033,  -23.462,   -0.260
 -23.413,   -0.033,  -23.413,   -0.261
 -23.364,   -0.033,  -23.364,   -0.262
 -23.314,   -0.033,  -23.314,   -0.263
 -23.265,   -0.033,  -23.265,   -0.265
 -23.216,   -0.033,  -23.216,   -0.265
 -23.167,   -0.033,  -23.167,   -0.267
 -23.118,   -0.033,  -23.118,   -0.267
 -23.069,   -0.033,  -23.069,   -0.267
 -23.020,   -0.033,  -23.020,   -0.269
 -22.970,   -0.033,  -22.970,   -0.270
 -22.921,   -0.034,  -22.921,   -0.271
 -22.872,   -0.033,  -22.872,   -0.272
 -22.823,   -0.034,  -22.823,   -0.272
 -22.774,   -0.033,  -22.774,   -0.272
 -22.725,   -0.033,  -22.725,   -0.274
 -22.675,   -0.033,  -22.675,   -0.275
 -22.626,   -0.033,  -22.626,   -0.276
 -22.577,   -0.034,  -22.577,   -0.276
 -22.528,   -0.033,  -22.528,   -0.278
 -22.479,   -0.033,  -22.479,   -0.278
 -22.430,   -0.034,  -22.430,   -0.279
 -22.381,   -0.033,  -22.381,   -0.280
 -22.331,   -0.033,  -22.331,   -0.281
 -22.282,   -0.033,  -22.282,   -0.282
 -22.233,   -0.033,  -22.233,   -0.283
 -22.184,   -0.033,  -22.184,   -0.285
 -22.135,   -0.033,  -22.135,   -0.286
 -22.086,   -0.034,  -22.086,   -0.286
 -22.037,   -0.033,  -22.037,   -0.287
 -21.987,   -0.034,  -21.987,   -0.289
 -21.938,   -0.034,  -21.938,   -0.289
 -21.889,   -0.033,  -21.889,   -0.289
 -21.840,   -0.034,  -21.840,   -0.291
 -21.791,   -0.033,  -21.791,   -0.291
 -21.742,   -0.033,  -21.742,   -0.292
 -21.692,   -0.033,  -21.692,   -0.293
 -21.643,   -0.033,  -21.643,   -0.293
 -21.594,   -0.033,  -21.594,   -0.294
 -21.545,   -0.033,  -21.545,   -0.295
 -21.496,   -0.033,  -21.496,   -0.296
 -21.447,   -0.033,  -21.447,   -0.297
 -21.398,   -0.034,  -21.398,   -0.299
 -21.348,   -0.033,  -21.348,   -0.299
 -21.299,   -0.033,  -21.299,   -0.300
 -21.250,   -0.033,  -21.250,   -0.300
 -21.201,   -0.034,  -21.201,   -0.301
 -21.152,   -0.033,  -21.152,   -0.301
 -21.103,   -0.033,  -21.103,   -0.303
 -21.053,   -0.033,  -21.053,   -0.303
 -21.004,   -0.034,  -21.004,   -0.305
 -20.955,   -0.033,  -20.955,   -0.305
 -20.906,   -0.033,  -20.906,   -0.306
 -20.857,   -0.033,  -20.857,   -0.307
 -20.808,   -0.034,  -20.808,   -0.308
 -20.759,   -0.033,  -20.759,   -0.309
 -20.709,   -0.033,  -20.709,   -0.309
 -20.660,   -0.033,  -20.660,   -0.309
 -20.611,   -0.033,  -20.611,   -0.311
 -20.562,   -0.033,  -20.562,   -0.312
 -20.513,   -0.033,  -20.513,   -0.312
 -20.464,   -0.034,  -20.464,   -0.313
 -20.415,   -0.033,  -20.415,   -0.314
 -20.365,   -0.033,  -20.365,   -0.315
 -20.316,   -0.033,  -20.316,   -0.315
 -20.267,   -0.033,  -20.267,   -0.316
 -20.218,   -0.033,  -20.218,   -0.317
 -20.169,   -0.033,  -20.169,   -0.317
 -20.120,   -0.033,  -20.120,   -0.319
