t1      ,ch1     ,t2      ,ch2     
  -0.729,   -0.007,   -0.729,   -0.061
  -0.713,   -0.007,   -0.713,   -0.061
  -0.696,   -0.006,   -0.696,   -0.061
  -0.680,   -0.007,   -0.680,   -0.061
  -0.664,   -0.002,   -0.664,   -0.061
  -0.647,   -0.003,   -0.647,   -0.062
  -0.631,   -0.005,   -0.631,   -0.062
  -0.614,   -0.004,   -0.614,   -0.062
  -0.598,   -0.005,   -0.598,   -0.062
  -0.582,   -0.005,   -0.582,   -0.063
  -0.565,   -0.006,   -0.565,   -0.063
  -0.549,   -0.004,   -0.549,   -0.063
  -0.532,   -0.002,   -0.532,   -0.063
  -0.516,   -0.003,   -0.516,   -0.063
  -0.500,   -0.006,   -0.500,   -0.063
  -0.483,   -0.005,   -0.483,   -0.064
  -0.467,   -0.007,   -0.467,   -0.064
  -0.451,   -0.003,   -0.451,   -0.064
  -0.434,   -0.005,   -0.434,   -0.064
  -0.418,   -0.004,   -0.418,   -0.064
  -0.401,   -0.002,   -0.401,   -0.065
  -0.385,   -0.002,   -0.385,   -0.065
  -0.369,   -0.006,   -0.369,   -0.065
  -0.352,   -0.007,   -0.352,   -0.065
  -0.336,   -0.004,   -0.336,   -0.065
  -0.320,   -0.005,   -0.320,   -0.065
  -0.303,   -0.004,   -0.303,   -0.066
  -0.287,   -0.003,   -0.287,   -0.066
  -0.270,   -0.010,   -0.270,   -0.066
  -0.254,   -0.003,   -0.254,   -0.066
  -0.238,   -0.008,   -0.238,   -0.066
  -0.221,   -0.006,   -0.221,   -0.067
  -0.205,   -0.003,   -0.205,   -0.067
  -0.188,   -0.006,   -0.188,   -0.067
  -0.172,   -0.009,   -0.172,   -0.067
  -0.156,   -0.005,   -0.156,   -0.067
  -0.139,   -0.006,   -0.139,   -0.068
  -0.123,   -0.004,   -0.123,   -0.068
  -0.106,   -0.003,   -0.106,   -0.068
  -0.090,   -0.007,   -0.090,   -0.068
  -0.074,   -0.004,   -0.074,   -0.068
  -0.057,   -0.006,   -0.057,   -0.069
  -0.041,   -0.004,   -0.041,   -0.069
  -0.025,   -0.006,   -0.025,   -0.069
  -0.008,   -0.004,   -0.008,   -0.069
   0.008,   -0.009,    0.008,   -0.069
   0.025,   -0.007,    0.025,   -0.070
   0.041,   -0.006,    0.041,   -0.069
   0.057,   -0.009,    0.057,   -0.069
   0.074,   -0.008,    0.074,   -0.069
   0.090,   -0.007,    0.090,   -0.069
   0.106,   -0.008,    0.106,   -0.069
   0.123,   -0.004,    0.123,   -0.068
   0.139,   -0.003,    0.139,   -0.068
   0.156,   -0.011,    0.156,   -0.068
   0.172,   -0.008,    0.172,   -0.068
   0.188,   -0.006,    0.188,   -0.068
   0.205,   -0.007,    0.205,   -0.067
   0.221,   -0.006,    0.221,   -0.067
   0.238,   -0.002,    0.238,   -0.067
   0.254,   -0.009,    0.254,   -0.067
   0.270,   -0.004,    0.270,   -0.067
   0.287,   -0.006,    0.287,   -0.066
   0.303,   -0.008,    0.303,   -0.066
   0.320,   -0.004,    0.320,   -0.066
   0.336,   -0.008,    0.336,   -0.066
   0.352,   -0.011,    0.352,   -0.066
   0.369,   -0.005,    0.369,   -0.065
   0.385,   -0.007,    0.385,   -0.065
   0.401,   -0.006,    0.401,   -0.065
   0.418,   -0.005,    0.418,   -0.065
   0.434,   -0.007,    0.434,   -0.065
   0.451,   -0.007,    0.451,   -0.064
   0.467,   -0.009,    0.467,   -0.064
   0.483,   -0.007,    0.483,   -0.064
   0.500,   -0.008,    0.500,   -0.064
   0.516,   -0.005,    0.516,   -0.064
   0.532,   -0.007,    0.532,   -0.064
   0.549,   -0.006,    0.549,   -0.063
   0.565,   -0.008,    0.565,   -0.063
   0.582,   -0.006,    0.582,   -0.063
   0.598,   -0.007,    0.598,   -0.063
   0.614,   -0.007,    0.614,   -0.063
   0.631,   -0.007,    0.631,   -0.062
   0.647,   -0.007,    0.647,   -0.062
   0.664,   -0.008,    0.664,   -0.062
   0.680,   -0.007,    0.680,   -0.062
   0.696,   -0.008,    0.696,   -0.062
   0.713,   -0.005,    0.713,   -0.061
   0.729,   -0.011,    0.729,   -0.061
   0.746,   -0.008,    0.746,   -0.061
   0.762,   -0.008,    0.762,   -0.061
   0.778,   -0.008,    0.778,   -0.061
   0.795,   -0.009,    0.795,   -0.060
   0.811,   -0.008,    0.811,   -0.060
   0.827,   -0.004,    0.827,   -0.060
   0.844,   -0.006,    0.844,   -0.060
   0.860,   -0.006,    0.860,   -0.060
   0.876,   -0.009,    0.876,   -0.059
   0.893,   -0.006,    0.893,   -0.059
   0.909,   -0.009,    0.909,   -0.059
   0.926,   -0.007,    0.926,   -0.059
   0.942,   -0.006,    0.942,   -0.059
   0.959,   -0.006,    0.959,   -0.059
   0.975,   -0.008,    0.975,   -0.058
   0.991,   -0.008,    0.991,   -0.058
   1.008,   -0.007,    1.008,   -0.058
   1.024,   -0.014,    1.024,   -0.058
   1.040,   -0.008,    1.040,   -0.058
   1.057,   -0.008,    1.057,   -0.057
   1.073,   -0.008,    1.073,   -0.057
   1.089,   -0.009,    1.089,   -0.057
   1.106,   -0.006,    1.106,   -0.057
   1.122,   -0.009,    1.122,   -0.057
   1.139,   -0.007,    1.139,   -0.056
   1.155,   -0.006,    1.155,   -0.056
   1.171,   -0.006,    1.171,   -0.056
   1.188,   -0.007,    1.188,   -0.056
   1.204,   -0.007,    1.204,   -0.056
   1.221,   -0.009,    1.221,   -0.055
   1.237,   -0.006,    1.237,   -0.055
   1.253,   -0.005,    1.253,   -0.055
   1.270,   -0.007,    1.270,   -0.055
   1.286,   -0.012,    1.286,   -0.055
   1.302,   -0.006,    1.302,   -0.054
   1.319,   -0.007,    1.319,   -0.054
   1.335,   -0.008,    1.335,   -0.054
   1.352,   -0.007,    1.352,   -0.054
   1.368,   -0.008,    1.368,   -0.054
   1.384,   -0.007,    1.384,   -0.054
   1.401,   -0.007,    1.401,   -0.053
   1.417,   -0.011,    1.417,   -0.053
   1.434,   -0.007,    1.434,   -0.053
   1.450,   -0.010,    1.450,   -0.053
   1.466,   -0.006,    1.466,   -0.053
   1.483,   -0.008,    1.483,   -0.052
   1.499,   -0.008,    1.499,   -0.052
   1.516,   -0.009,    1.516,   -0.052
   1.532,   -0.006,    1.532,   -0.052
   1.548,   -0.005,    1.548,   -0.052
   1.565,   -0.006,    1.565,   -0.051
   1.581,   -0.007,    1.581,   -0.051
   1.597,   -0.010,    1.597,   -0.051
   1.614,   -0.005,    1.614,   -0.051
   1.630,   -0.005,    1.630,   -0.051
   1.647,   -0.008,    1.647,   -0.050
   1.663,   -0.009,    1.663,   -0.050
   1.679,   -0.008,    1.679,   -0.050
   1.696,   -0.006,    1.696,   -0.050
   1.712,   -0.006,    1.712,   -0.050
   1.728,   -0.004,    1.728,   -0.050
   1.745,   -0.004,    1.745,   -0.049
   1.761,   -0.005,    1.761,   -0.049
   1.778,   -0.005,    1.778,   -0.049
   1.794,   -0.005,    1.794,   -0.049
   1.810,   -0.009,    1.810,   -0.049
   1.827,   -0.006,    1.827,   -0.048
   1.843,   -0.008,    1.843,   -0.048
   1.860,   -0.006,    1.860,   -0.048
   1.876,   -0.003,    1.876,   -0.048
   1.892,   -0.007,    1.892,   -0.048
   1.909,   -0.004,    1.909,   -0.047
   1.925,   -0.006,    1.925,   -0.047
   1.942,   -0.006,    1.942,   -0.047
   1.958,   -0.008,    1.958,   -0.047
   1.974,   -0.006,    1.974,   -0.047
   1.991,   -0.010,    1.991,   -0.046
   2.007,   -0.007,    2.007,   -0.046
   2.023,   -0.006,    2.023,   -0.046
   2.040,   -0.009,    2.040,   -0.046
   2.056,   -0.005,    2.056,   -0.046
   2.073,   -0.007,    2.073,   -0.045
   2.089,   -0.005,    2.089,   -0.045
   2.105,   -0.005,    2.105,   -0.045
   2.122,   -0.006,    2.122,   -0.045
   2.138,   -0.006,    2.138,   -0.045
   2.155,   -0.005,    2.155,   -0.044
   2.171,   -0.004,    2.171,   -0.044
   2.187,   -0.009,    2.187,   -0.044
   2.204,   -0.007,    2.204,   -0.044
   2.220,   -0.006,    2.220,   -0.044
   2.236,   -0.006,    2.236,   -0.043
   2.253,   -0.003,    2.253,   -0.043
   2.269,   -0.009,    2.269,   -0.043
   2.286,   -0.006,    2.286,   -0.043
   2.302,   -0.001,    2.302,   -0.043
   2.318,   -0.005,    2.318,   -0.043
   2.335,   -0.005,    2.335,   -0.042
   2.351,   -0.001,    2.351,   -0.042
   2.368,   -0.005,    2.368,   -0.042
   2.384,   -0.006,    2.384,   -0.042
   2.400,   -0.004,    2.400,   -0.042
   2.417,   -0.004,    2.417,   -0.041
   2.433,   -0.007,    2.433,   -0.041
   2.449,   -0.005,    2.449,   -0.041
   2.466,   -0.007,    2.466,   -0.041
   2.482,   -0.003,    2.482,   -0.041
