t1      ,ch1     ,t2      ,ch2     
   2.190,   -0.005,    2.190,   -0.044
   2.196,   -0.005,    2.196,   -0.044
   2.203,   -0.002,    2.203,   -0.043
   2.210,   -0.007,    2.210,   -0.043
   2.216,   -0.007,    2.216,   -0.043
   2.223,   -0.011,    2.223,   -0.043
   2.230,   -0.004,    2.230,   -0.043
   2.236,   -0.007,    2.236,   -0.043
   2.243,   -0.008,    2.243,   -0.043
   2.250,   -0.009,    2.250,   -0.043
   2.256,   -0.003,    2.256,   -0.043
   2.263,   -0.004,    2.263,   -0.043
   2.270,   -0.006,    2.270,   -0.043
   2.276,   -0.005,    2.276,   -0.043
   2.283,   -0.007,    2.283,   -0.043
   2.290,   -0.009,    2.290,   -0.043
   2.296,   -0.007,    2.296,   -0.042
   2.303,   -0.010,    2.303,   -0.042
   2.310,   -0.002,    2.310,   -0.042
   2.316,   -0.006,    2.316,   -0.042
   2.323,   -0.006,    2.323,   -0.042
   2.330,   -0.009,    2.330,   -0.042
   2.336,   -0.006,    2.336,   -0.042
   2.343,   -0.006,    2.343,   -0.042
   2.350,   -0.005,    2.350,   -0.042
   2.356,   -0.006,    2.356,   -0.042
   2.363,   -0.007,    2.363,   -0.042
   2.369,   -0.009,    2.369,   -0.042
   2.376,   -0.006,    2.376,   -0.042
   2.383,   -0.004,    2.383,   -0.041
   2.389,   -0.006,    2.389,   -0.041
   2.396,   -0.007,    2.396,   -0.041
   2.403,   -0.002,    2.403,   -0.041
   2.409,   -0.006,    2.409,   -0.041
   2.416,   -0.007,    2.416,   -0.041
   2.423,   -0.005,    2.423,   -0.041
   2.429,   -0.006,    2.429,   -0.041
   2.436,   -0.006,    2.436,   -0.041
   2.443,   -0.008,    2.443,   -0.041
   2.449,   -0.006,    2.449,   -0.041
   2.456,   -0.006,    2.456,   -0.041
   2.463,   -0.006,    2.463,   -0.041
   2.469,   -0.005,    2.469,   -0.040
   2.476,   -0.007,    2.476,   -0.040
   2.483,   -0.005,    2.483,   -0.040
   2.489,   -0.007,    2.489,   -0.040
   2.496,   -0.007,    2.496,   -0.040
   2.503,   -0.005,    2.503,   -0.040
   2.509,   -0.006,    2.509,   -0.040
   2.516,   -0.006,    2.516,   -0.040
   2.523,   -0.005,    2.523,   -0.040
   2.529,   -0.006,    2.529,   -0.040
   2.536,   -0.008,    2.536,   -0.040
   2.543,   -0.005,    2.543,   -0.040
   2.549,    0.000,    2.549,   -0.039
   2.556,   -0.006,    2.556,   -0.039
   2.563,   -0.002,    2.563,   -0.039
   2.569,   -0.007,    2.569,   -0.039
   2.576,   -0.006,    2.576,   -0.039
   2.583,   -0.004,    2.583,   -0.039
   2.589,   -0.004,    2.589,   -0.039
   2.596,   -0.007,    2.596,   -0.039
   2.603,   -0.004,    2.603,   -0.039
   2.609,   -0.006,    2.609,   -0.039
   2.616,   -0.002,    2.616,   -0.039
   2.623,    0.000,    2.623,   -0.039
   2.629,   -0.006,    2.629,   -0.039
   2.636,   -0.007,    2.636,   -0.038
   2.642,   -0.005,    2.642,   -0.038
   2.649,   -0.006,    2.649,   -0.038
   2.656,   -0.004,    2.656,   -0.038
   2.662,   -0.004,    2.662,   -0.038
   2.669,   -0.005,    2.669,   -0.038
   2.676,   -0.007,    2.676,   -0.038
   2.682,   -0.003,    2.682,   -0.038
   2.689,   -0.002,    2.689,   -0.038
   2.696,   -0.008,    2.696,   -0.038
   2.702,   -0.006,    2.702,   -0.038
   2.709,   -0.001,    2.709,   -0.038
   2.716,   -0.008,    2.716,   -0.037
   2.722,   -0.005,    2.722,   -0.037
   2.729,   -0.008,    2.729,   -0.037
   2.736,   -0.004,    2.736,   -0.037
   2.742,   -0.005,    2.742,   -0.037
   2.749,   -0.007,    2.749,   -0.037
   2.756,   -0.005,    2.756,   -0.037
   2.762,   -0.003,    2.762,   -0.037
   2.769,   -0.007,    2.769,   -0.037
   2.776,   -0.002,    2.776,   -0.037
   2.782,   -0.006,    2.782,   -0.037
   2.789,   -0.000,    2.789,   -0.037
   2.796,   -0.002,    2.796,   -0.037
