t1      ,ch1     ,t2      ,ch2     
  -0.811,   -0.001,   -0.811,   -0.060
  -0.795,   -0.001,   -0.795,   -0.060
  -0.778,   -0.001,   -0.778,   -0.060
  -0.762,   -0.003,   -0.762,   -0.060
  -0.746,   -0.005,   -0.746,   -0.060
  -0.729,   -0.004,   -0.729,   -0.061
  -0.713,   -0.001,   -0.713,   -0.061
  -0.696,    0.003,   -0.696,   -0.061
  -0.680,   -0.003,   -0.680,   -0.061
  -0.664,    0.000,   -0.664,   -0.061
  -0.647,    0.000,   -0.647,   -0.062
  -0.631,    0.001,   -0.631,   -0.062
  -0.614,   -0.002,   -0.614,   -0.062
  -0.598,   -0.002,   -0.598,   -0.062
  -0.582,   -0.004,   -0.582,   -0.063
  -0.565,   -0.003,   -0.565,   -0.063
  -0.549,   -0.002,   -0.549,   -0.063
  -0.532,   -0.001,   -0.532,   -0.063
  -0.516,   -0.001,   -0.516,   -0.063
  -0.500,   -0.005,   -0.500,   -0.063
  -0.483,   -0.000,   -0.483,   -0.064
  -0.467,    0.001,   -0.467,   -0.064
  -0.451,   -0.002,   -0.451,   -0.064
  -0.434,   -0.002,   -0.434,   -0.064
  -0.418,   -0.001,   -0.418,   -0.064
  -0.401,   -0.002,   -0.401,   -0.065
  -0.385,   -0.002,   -0.385,   -0.065
  -0.369,   -0.002,   -0.369,   -0.065
  -0.352,   -0.005,   -0.352,   -0.065
  -0.336,   -0.002,   -0.336,   -0.065
  -0.320,   -0.004,   -0.320,   -0.066
  -0.303,   -0.008,   -0.303,   -0.066
  -0.287,   -0.001,   -0.287,   -0.066
  -0.270,   -0.001,   -0.270,   -0.066
  -0.254,   -0.003,   -0.254,   -0.066
  -0.238,    0.001,   -0.238,   -0.067
  -0.221,   -0.004,   -0.221,   -0.067
  -0.205,   -0.001,   -0.205,   -0.067
  -0.188,   -0.002,   -0.188,   -0.067
  -0.172,   -0.001,   -0.172,   -0.067
  -0.156,   -0.005,   -0.156,   -0.067
  -0.139,   -0.004,   -0.139,   -0.068
  -0.123,   -0.003,   -0.123,   -0.068
  -0.106,   -0.006,   -0.106,   -0.068
  -0.090,   -0.002,   -0.090,   -0.068
  -0.074,   -0.002,   -0.074,   -0.068
  -0.057,   -0.006,   -0.057,   -0.069
  -0.041,   -0.004,   -0.041,   -0.069
  -0.025,   -0.003,   -0.025,   -0.069
  -0.008,   -0.007,   -0.008,   -0.069
   0.008,   -0.002,    0.008,   -0.069
   0.025,   -0.006,    0.025,   -0.070
   0.041,   -0.003,    0.041,   -0.069
   0.057,   -0.002,    0.057,   -0.069
   0.074,   -0.005,    0.074,   -0.069
   0.090,   -0.005,    0.090,   -0.069
   0.106,   -0.005,    0.106,   -0.069
   0.123,   -0.004,    0.123,   -0.068
   0.139,   -0.002,    0.139,   -0.068
   0.156,   -0.009,    0.156,   -0.068
   0.172,   -0.006,    0.172,   -0.068
   0.188,   -0.001,    0.188,   -0.068
   0.205,    0.001,    0.205,   -0.067
   0.221,   -0.003,    0.221,   -0.067
   0.238,   -0.004,    0.238,   -0.067
   0.254,   -0.002,    0.254,   -0.067
   0.270,   -0.005,    0.270,   -0.067
   0.287,   -0.006,    0.287,   -0.066
   0.303,   -0.005,    0.303,   -0.066
   0.320,   -0.005,    0.320,   -0.066
   0.336,   -0.005,    0.336,   -0.066
   0.352,   -0.002,    0.352,   -0.066
   0.369,   -0.008,    0.369,   -0.065
   0.385,   -0.004,    0.385,   -0.065
   0.401,   -0.004,    0.401,   -0.065
   0.418,   -0.005,    0.418,   -0.065
   0.434,   -0.005,    0.434,   -0.065
   0.451,   -0.003,    0.451,   -0.064
   0.467,   -0.005,    0.467,   -0.064
   0.483,   -0.003,    0.483,   -0.064
   0.500,   -0.008,    0.500,   -0.064
   0.516,   -0.005,    0.516,   -0.064
   0.532,   -0.001,    0.532,   -0.063
   0.549,   -0.006,    0.549,   -0.063
   0.565,   -0.005,    0.565,   -0.063
   0.582,   -0.004,    0.582,   -0.063
   0.598,   -0.006,    0.598,   -0.063
   0.614,   -0.006,    0.614,   -0.063
   0.631,   -0.005,    0.631,   -0.062
   0.647,   -0.007,    0.647,   -0.062
   0.664,   -0.004,    0.664,   -0.062
   0.680,   -0.005,    0.680,   -0.062
   0.696,   -0.005,    0.696,   -0.062
   0.713,   -0.004,    0.713,   -0.061
   0.729,   -0.004,    0.729,   -0.061
   0.746,   -0.004,    0.746,   -0.061
   0.762,   -0.007,    0.762,   -0.061
   0.778,   -0.005,    0.778,   -0.061
   0.795,   -0.004,    0.795,   -0.060
   0.811,   -0.006,    0.811,   -0.060
   0.827,   -0.003,    0.827,   -0.060
   0.844,   -0.006,    0.844,   -0.060
   0.860,   -0.004,    0.860,   -0.060
   0.876,   -0.006,    0.876,   -0.059
   0.893,   -0.006,    0.893,   -0.059
   0.909,   -0.004,    0.909,   -0.059
   0.926,   -0.007,    0.926,   -0.059
   0.942,   -0.004,    0.942,   -0.059
   0.959,   -0.002,    0.959,   -0.059
   0.975,   -0.006,    0.975,   -0.058
   0.991,   -0.005,    0.991,   -0.058
   1.008,   -0.004,    1.008,   -0.058
   1.024,   -0.003,    1.024,   -0.058
   1.040,   -0.006,    1.040,   -0.058
   1.057,   -0.003,    1.057,   -0.057
   1.073,   -0.005,    1.073,   -0.057
   1.089,   -0.009,    1.089,   -0.057
   1.106,   -0.004,    1.106,   -0.057
   1.122,   -0.006,    1.122,   -0.057
   1.139,   -0.006,    1.139,   -0.056
   1.155,   -0.004,    1.155,   -0.056
   1.171,   -0.005,    1.171,   -0.056
   1.188,   -0.004,    1.188,   -0.056
   1.204,   -0.002,    1.204,   -0.056
   1.221,   -0.004,    1.221,   -0.055
   1.237,   -0.004,    1.237,   -0.055
   1.253,   -0.003,    1.253,   -0.055
   1.270,   -0.005,    1.270,   -0.055
   1.286,   -0.006,    1.286,   -0.055
   1.302,   -0.002,    1.302,   -0.054
   1.319,   -0.004,    1.319,   -0.054
   1.335,   -0.007,    1.335,   -0.054
   1.352,   -0.002,    1.352,   -0.054
   1.368,   -0.005,    1.368,   -0.054
   1.384,   -0.006,    1.384,   -0.053
   1.401,   -0.003,    1.401,   -0.053
   1.417,   -0.003,    1.417,   -0.053
   1.434,   -0.004,    1.434,   -0.053
   1.450,   -0.001,    1.450,   -0.053
   1.466,   -0.004,    1.466,   -0.053
   1.483,    0.000,    1.483,   -0.052
   1.499,   -0.005,    1.499,   -0.052
   1.516,   -0.007,    1.516,   -0.052
   1.532,   -0.005,    1.532,   -0.052
   1.548,   -0.005,    1.548,   -0.052
   1.565,   -0.001,    1.565,   -0.051
   1.581,   -0.003,    1.581,   -0.051
   1.597,   -0.003,    1.597,   -0.051
   1.614,   -0.006,    1.614,   -0.051
   1.630,   -0.004,    1.630,   -0.051
   1.647,   -0.001,    1.647,   -0.050
   1.663,   -0.005,    1.663,   -0.050
   1.679,   -0.005,    1.679,   -0.050
   1.696,   -0.001,    1.696,   -0.050
   1.712,   -0.003,    1.712,   -0.050
   1.728,   -0.003,    1.728,   -0.050
   1.745,   -0.003,    1.745,   -0.049
   1.761,   -0.005,    1.761,   -0.049
   1.778,   -0.002,    1.778,   -0.049
   1.794,   -0.002,    1.794,   -0.049
   1.810,    0.001,    1.810,   -0.049
   1.827,   -0.005,    1.827,   -0.048
   1.843,   -0.003,    1.843,   -0.048
   1.860,    0.001,    1.860,   -0.048
   1.876,   -0.004,    1.876,   -0.048
   1.892,   -0.002,    1.892,   -0.048
   1.909,   -0.004,    1.909,   -0.047
