t1      ,ch1     ,t2      ,ch2     
   0.000,    0.005,    0.000,   -0.006
   0.016,    0.005,    0.016,   -0.006
   0.033,    0.011,    0.033,   -0.005
   0.049,    0.011,    0.049,   -0.005
   0.066,    0.010,    0.066,   -0.006
   0.082,    0.013,    0.082,   -0.005
   0.098,    0.009,    0.098,   -0.006
   0.115,    0.009,    0.115,   -0.005
   0.131,    0.011,    0.131,   -0.005
   0.147,    0.009,    0.147,   -0.005
   0.164,    0.010,    0.164,   -0.005
   0.180,    0.009,    0.180,   -0.006
   0.197,    0.010,    0.197,   -0.005
   0.213,    0.008,    0.213,   -0.006
   0.229,    0.008,    0.229,   -0.006
   0.246,    0.005,    0.246,   -0.006
   0.262,    0.012,    0.262,   -0.005
   0.279,    0.009,    0.279,   -0.006
   0.295,    0.011,    0.295,   -0.004
   0.311,    0.009,    0.311,   -0.005
   0.328,    0.012,    0.328,   -0.005
   0.344,    0.011,    0.344,   -0.005
   0.360,    0.012,    0.360,   -0.005
   0.377,    0.012,    0.377,   -0.005
   0.393,    0.009,    0.393,   -0.006
   0.410,    0.010,    0.410,   -0.005
   0.426,    0.011,    0.426,   -0.005
   0.442,    0.011,    0.442,   -0.005
   0.459,    0.013,    0.459,   -0.005
   0.475,    0.006,    0.475,   -0.006
   0.491,    0.011,    0.491,   -0.005
   0.508,    0.006,    0.508,   -0.006
   0.524,    0.009,    0.524,   -0.005
   0.541,    0.006,    0.541,   -0.006
   0.557,    0.012,    0.557,   -0.005
   0.573,    0.011,    0.573,   -0.005
   0.590,    0.011,    0.590,   -0.005
   0.606,    0.009,    0.606,   -0.006
   0.623,    0.007,    0.623,   -0.006
   0.639,    0.010,    0.639,   -0.005
   0.655,    0.016,    0.655,   -0.004
   0.672,    0.013,    0.672,   -0.004
   0.688,    0.010,    0.688,   -0.005
   0.705,    0.008,    0.705,   -0.006
   0.721,    0.010,    0.721,   -0.005
   0.737,    0.010,    0.737,   -0.005
   0.754,    0.007,    0.754,   -0.006
   0.770,    0.008,    0.770,   -0.005
   0.786,    0.011,    0.786,   -0.005
   0.803,    0.009,    0.803,   -0.005
   0.819,    0.009,    0.819,   -0.005
   0.836,    0.010,    0.836,   -0.005
   0.852,    0.013,    0.852,   -0.004
   0.868,    0.012,    0.868,   -0.004
   0.885,    0.009,    0.885,   -0.005
   0.901,    0.012,    0.901,   -0.005
   0.917,    0.008,    0.917,   -0.005
   0.934,    0.011,    0.934,   -0.005
   0.950,    0.010,    0.950,   -0.006
   0.967,    0.010,    0.967,   -0.005
   0.983,    0.010,    0.983,   -0.006
   0.999,    0.006,    0.999,   -0.006
   1.016,    0.006,    1.016,   -0.006
   1.032,    0.011,    1.032,   -0.005
   1.049,    0.012,    1.049,   -0.005
   1.065,    0.012,    1.065,   -0.004
   1.081,    0.007,    1.081,   -0.006
   1.098,    0.010,    1.098,   -0.005
   1.114,    0.010,    1.114,   -0.005
   1.131,    0.009,    1.131,   -0.005
   1.147,    0.012,    1.147,   -0.005
   1.163,    0.009,    1.163,   -0.005
   1.180,    0.011,    1.180,   -0.005
   1.196,    0.006,    1.196,   -0.007
   1.212,    0.015,    1.212,   -0.004
   1.229,    0.011,    1.229,   -0.004
   1.245,    0.010,    1.245,   -0.005
   1.262,    0.005,    1.262,   -0.006
   1.278,    0.009,    1.278,   -0.005
   1.294,    0.007,    1.294,   -0.006
   1.311,    0.011,    1.311,   -0.005
   1.327,    0.014,    1.327,   -0.005
   1.343,    0.009,    1.343,   -0.005
   1.360,    0.007,    1.360,   -0.005
   1.376,    0.008,    1.376,   -0.006
   1.393,    0.011,    1.393,   -0.005
   1.409,    0.007,    1.409,   -0.006
   1.425,    0.013,    1.425,   -0.005
   1.442,    0.011,    1.442,   -0.004
   1.458,    0.008,    1.458,   -0.006
   1.475,    0.009,    1.475,   -0.006
   1.491,    0.006,    1.491,   -0.006
   1.507,    0.011,    1.507,   -0.005
   1.524,    0.011,    1.524,   -0.005
   1.540,    0.007,    1.540,   -0.006
   1.556,    0.011,    1.556,   -0.005
   1.573,    0.011,    1.573,   -0.005
   1.589,    0.006,    1.589,   -0.006
   1.606,    0.010,    1.606,   -0.005
   1.622,    0.012,    1.622,   -0.005
   1.638,    0.008,    1.638,   -0.006
   1.655,    0.009,    1.655,   -0.005
   1.671,    0.011,    1.671,   -0.005
   1.688,    0.013,    1.688,   -0.005
   1.704,    0.009,    1.704,   -0.006
   1.720,    0.014,    1.720,   -0.004
   1.737,    0.013,    1.737,   -0.004
   1.753,    0.006,    1.753,   -0.006
   1.770,    0.013,    1.770,   -0.004
   1.786,    0.011,    1.786,   -0.005
